;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_X36_desc;We've had a good run, but it's time to end our rulership of Bigorre: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X37_title;Grant Bouillon Independence;;;;;;;;;;;;x,,
gtfo_X37_desc;We've had a good run, but it's time to end our rulership of Bouillon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X38_title;Grant Bresse Independence;;;;;;;;;;;;x,,
gtfo_X38_desc;We've had a good run, but it's time to end our rulership of Bresse: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X39_title;Grant Chios Independence;;;;;;;;;;;;x,,
gtfo_X39_desc;We've had a good run, but it's time to end our rulership of Chios: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X40_title;Grant Girona Independence;;;;;;;;;;;;x,,
gtfo_X40_desc;We've had a good run, but it's time to end our rulership of Girona: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X41_title;Grant Kadam Independence;;;;;;;;;;;;x,,
gtfo_X41_desc;We've had a good run, but it's time to end our rulership of Kadam: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X42_title;Grant Perigord Independence;;;;;;;;;;;;x,,
gtfo_X42_desc;We've had a good run, but it's time to end our rulership of Perigord: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X43_title;Grant Saintonge Independence;;;;;;;;;;;;x,,
gtfo_X43_desc;We've had a good run, but it's time to end our rulership of Saintonge: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X44_title;Grant Takrit Independence;;;;;;;;;;;;x,,
gtfo_X44_desc;We've had a good run, but it's time to end our rulership of Takrit: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X45_title;Grant Tourraine Independence;;;;;;;;;;;;x,,
gtfo_X45_desc;We've had a good run, but it's time to end our rulership of Tourraine: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X46_title;Grant New Serkland Independence;;;;;;;;;;;;x,,
gtfo_X46_desc;We've had a good run, but it's time to end our rulership of New Serkland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X47_title;Grant New Somalia Independence;;;;;;;;;;;;x,,
gtfo_X47_desc;We've had a good run, but it's time to end our rulership of New Somalia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XAL_title;Grant Xalisco Independence;;;;;;;;;;;;x,,
gtfo_XAL_desc;We've had a good run, but it's time to end our rulership of Xalisco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XIU_title;Grant Xiu Independence;;;;;;;;;;;;x,,
gtfo_XIU_desc;We've had a good run, but it's time to end our rulership of Xiu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XMA_title;Grant Madurai Independence;;;;;;;;;;;;x,,
gtfo_XMA_desc;We've had a good run, but it's time to end our rulership of Madurai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YAN_title;Grant Yan Independence;;;;;;;;;;;;x,,
gtfo_YAN_desc;We've had a good run, but it's time to end our rulership of Yan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YEM_title;Grant Yemen Independence;;;;;;;;;;;;x,,
gtfo_YEM_desc;We've had a good run, but it's time to end our rulership of Yemen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YKA_title;Grant Yaka Independence;;;;;;;;;;;;x,,
gtfo_YKA_desc;We've had a good run, but it's time to end our rulership of Yaka: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YOK_title;Grant Yokotan Independence;;;;;;;;;;;;x,,
gtfo_YOK_desc;We've had a good run, but it's time to end our rulership of Yokotan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZAP_title;Grant Zapotec Independence;;;;;;;;;;;;x,,
gtfo_ZAP_desc;We've had a good run, but it's time to end our rulership of Zapotec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZIM_title;Grant Mutapa Independence;;;;;;;;;;;;x,,
gtfo_ZIM_desc;We've had a good run, but it's time to end our rulership of Mutapa: if you love something, let it go!;;;;;;;;;;;;x
